image_path,label_path,class_name,class_id,x_center,y_center,width,height
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_100.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_100.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_101.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_101.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_102.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_102.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_103.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_103.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_104.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_104.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_105.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_105.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_106.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_106.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_107.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_107.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_108.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_108.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_109.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_109.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\Images\damage\missing_part\aug_110.jpg,D:\Projects\Aero-AI_DroneDeliverySystem\Data\Auto_labelling\labels\damage\missing_part\aug_110.txt,damage\missing_part,1,0.5,0.5,0.95,0.95
