epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1416.67,1.18984,3.29214,1.65624,0.00329,0.98865,0.07346,0.03893,0.79997,3.67813,1.8604,0.00123077,0.000410256,0.00123077,0.000410256,0.00123077,0.000410256,0.00123077,0.000410256
2,2688.24,0.606,2.94245,1.252,0.88901,0.10539,0.21982,0.15725,0.60583,3.19756,1.69508,0.00235797,0.00078599,0.00235797,0.00078599,0.00235797,0.00078599,0.00235797,0.00078599
3,3552.92,0.4401,2.23145,1.128,0.88945,0.19975,0.27345,0.23846,0.49922,2.74548,1.54756,0.00336142,0.00112047,0.00336142,0.00112047,0.00336142,0.00112047,0.00336142,0.00112047
4,4293.69,0.38364,1.82164,1.08157,0.41898,0.53343,0.31472,0.27421,0.46177,2.50916,1.49877,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
5,5008.22,0.32725,1.5604,1.03599,0.4369,0.61296,0.35999,0.31799,0.47394,2.43402,1.5067,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
6,5763.38,0.30586,1.39776,1.01385,0.50482,0.52333,0.44787,0.42355,0.35614,2.15421,1.35268,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
7,6497.74,0.27758,1.28858,0.98892,0.5989,0.49367,0.48687,0.46157,0.31054,1.96105,1.25125,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
8,7242.77,0.27513,1.248,0.98776,0.64179,0.53012,0.53648,0.50813,0.31211,1.89716,1.22076,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
9,7943.89,0.26053,1.16518,0.98155,0.64946,0.56927,0.5739,0.5334,0.35262,1.83439,1.29122,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
10,8655.46,0.24722,1.11785,0.96822,0.73246,0.58562,0.61222,0.59091,0.29416,1.73729,1.23081,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
11,9368.1,0.18367,1.68564,0.94557,0.45749,0.70587,0.61951,0.60054,0.28166,1.71443,1.21173,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
12,10037,0.14478,1.40732,0.90396,0.78961,0.58496,0.67025,0.66316,0.17539,1.54247,1.06042,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
13,10760.2,0.1316,1.29858,0.89326,0.75307,0.61046,0.66596,0.6609,0.17638,1.51154,1.04885,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
14,11511,0.11516,1.20312,0.88419,0.45179,0.85741,0.68584,0.68197,0.1469,1.45412,1.03489,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
15,12209.9,0.10678,1.15242,0.88001,0.79244,0.61208,0.70417,0.69852,0.14546,1.41235,1.03395,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
16,12923.9,0.0996,1.1004,0.88909,0.80596,0.61879,0.72324,0.71619,0.13875,1.3638,1.03395,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
17,13595.4,0.10234,1.07125,0.87461,0.51553,0.79237,0.73645,0.73194,0.12774,1.328,1.02503,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
18,14290.9,0.09575,1.04187,0.87153,0.52068,0.82524,0.73615,0.72978,0.12811,1.2825,1.02612,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
19,15023.5,0.09098,1.0057,0.87175,0.52027,0.83665,0.73657,0.7305,0.12603,1.25017,1.0238,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
20,15760.6,0.08513,0.98357,0.865,0.524,0.8167,0.74011,0.73552,0.12106,1.26333,1.01908,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
