epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1677.76,1.29941,3.32968,1.74713,0.00458,0.99772,0.09012,0.0394,0.86577,3.70352,1.87744,0.00122222,0.000407407,0.00122222,0.000407407,0.00122222,0.000407407,0.00122222,0.000407407
2,3192.14,0.76037,3.13271,1.36337,0.00461,1,0.23877,0.16088,0.51841,3.5288,1.5228,0.00234985,0.000783282,0.00234985,0.000783282,0.00234985,0.000783282,0.00234985,0.000783282
3,4540.32,0.51719,2.86622,1.17743,0.49337,0.12578,0.37001,0.29517,0.48201,3.13289,1.44516,0.00335372,0.00111791,0.00335372,0.00111791,0.00335372,0.00111791,0.00335372,0.00111791
4,5657.33,0.44882,2.44758,1.12765,0.33495,0.79822,0.38118,0.31414,0.50284,2.68356,1.39529,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
5,6720.23,0.42258,2.04934,1.10038,0.3404,0.87792,0.46547,0.41132,0.46822,2.30991,1.36104,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
6,7810.35,0.36967,1.843,1.05512,0.39512,0.72518,0.4954,0.45475,0.34539,2.07403,1.23384,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
7,8895.23,0.34593,1.68115,1.04292,0.42976,0.76299,0.55689,0.52455,0.311,2.01536,1.16622,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
8,9962.86,0.31416,1.52927,1.00852,0.50007,0.77101,0.57669,0.54859,0.27726,1.86828,1.14555,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
9,10973.8,0.30247,1.44302,1.00809,0.47732,0.77935,0.59689,0.57223,0.30723,1.95805,1.15987,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
10,12080.2,0.29366,1.36282,0.99685,0.56365,0.68808,0.6508,0.62116,0.29109,1.7012,1.1337,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
11,13079.5,0.2428,2.15645,0.98623,0.55272,0.71753,0.62426,0.60861,0.25964,1.74847,1.09106,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
12,14002.6,0.1742,1.82594,0.93203,0.54903,0.7647,0.66299,0.65655,0.19629,1.60366,1.03287,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
13,15048.5,0.14835,1.67119,0.89695,0.62143,0.79126,0.71368,0.70573,0.16834,1.60846,1.00611,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
14,16986.5,0.1421,1.56081,0.89953,0.61901,0.78052,0.7208,0.71906,0.15066,1.46956,0.99313,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
15,18920.5,0.12827,1.46607,0.89323,0.65963,0.75241,0.70605,0.7027,0.16034,1.37533,1.00005,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
16,20273.5,0.12834,1.40274,0.8852,0.65659,0.72643,0.69706,0.69527,0.14749,1.35479,0.99544,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
17,21630,0.11731,1.35141,0.88371,0.62219,0.77683,0.72171,0.7202,0.14491,1.3079,0.98929,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
18,23020,0.11588,1.31635,0.88467,0.68528,0.72993,0.73402,0.73238,0.14588,1.28194,0.99072,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
19,24378.4,0.11017,1.26216,0.87365,0.713,0.70782,0.74201,0.74104,0.15238,1.25282,0.99572,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
20,25578.1,0.10788,1.2594,0.86679,0.68189,0.74032,0.73918,0.73824,0.14567,1.24639,0.99044,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
